,0,1,2,3,4
TNR,59.075,78.05,72.875,70.52499999999999,70.52499999999999
AUROC,92.26878333333333,95.70931666666665,95.24273333333333,94.14755,94.14755
DTACC,87.20833333333333,90.00416666666666,90.05000000000001,88.2625,88.2625
AUIN,94.99110966177086,97.2235791440268,96.91481334708045,96.13635652298838,96.13635652298838
AUOUT,83.22359939391866,92.97808029070364,90.7318052911633,88.4810925686885,88.4810925686885
ACC,93.86666666666666,95.56666666666666,93.01666666666667,94.6,94.6
OSCR,88.20156250000011,92.34641666666724,89.71798124999926,90.18687916666705,90.18687916666705
unknown,"[0, 8, 3, 5]","[2, 3, 4, 5]","[0, 8, 2, 6]","[8, 2, 3, 5]","[8, 2, 3, 5]"
known,"[2, 4, 1, 7, 9, 6]","[8, 6, 1, 9, 0, 7]","[1, 5, 7, 3, 9, 4]","[7, 6, 4, 9, 0, 1]","[0, 6, 4, 9, 1, 7]"
